Composition Code,# Mg atoms,# Si atoms,# O atoms,# H atoms,H2O (mol %),MgO (mol %),SiO2 (mol %),n (total),n (this study)
En,32,32,96,0,0.0,50.0,50.0,22,4
EnH25,27,27,90,18,14.3,42.9,42.9,13,13
EnH50,20,20,80,40,33.3,33.3,33.3,16,16
EnH60,16,16,72,48,42.9,28.6,28.6,14,14
MS,33,27,87,0,0.0,55.0,45.0,7,7
MSH40,28,20,82,28,22.6,45.2,32.3,15,15
MSH60,21,15,75,48,40.0,35.0,25.0,14,14
MSH70,17,12,71,60,50.8,28.8,20.3,14,14
Fo,46,23,92,0,0.0,66.7,33.3,13,5
FoH50,32,16,80,32,25.0,50.0,25.0,12,12
Bru,32,0,64,64,50.0,50.0,0.0,16,16